Serial number,Width,Height,Area
1000443,2.652559597,2.615054911,6.936589
1000013,2.720642168,2.54894904,6.934778241
1000530,2.704839916,2.73302296,7.392389593
1000476,2.640458998,2.721131743,7.185036793
1000815,2.624033505,2.527962535,6.633458389
1000607,2.718173691,2.778342076,7.552016334
1000012,2.65476305,2.641815948,7.013395363
1000941,2.669606221,2.64452222,7.05983297
1000905,2.545071156,2.575900746,6.555850691
1000709,2.527946297,2.540345805,6.421857769
1000668,2.717830768,2.684345546,7.295596918
1000400,2.685863761,2.637847131,7.084898016
1000311,2.719976921,2.602672638,7.079209509
1000151,2.728884073,2.687408006,7.333624904
1000990,2.657033765,2.654836758,7.053990906
1000931,2.664309765,2.520425404,6.715194016
1000149,2.73721628,2.724637658,7.457922555
1000591,2.722654744,2.641979074,7.193196859
1000548,2.795396972,2.652654617,7.415222683
1000917,2.571061716,2.563687161,6.591397911
1000763,2.505392408,2.563403629,6.422331991
1000096,2.505827061,2.552821385,6.39692891
1000996,2.608609642,2.565851264,6.693304346
1000816,2.682033256,2.784338654,7.467688865
1000872,2.579760271,2.533899427,6.536853073
1000174,2.779209462,2.794636374,7.766879852
1000500,2.774532752,2.6130037,7.249864346
1000896,2.556101886,2.65394046,6.783742215
1000680,2.757867396,2.753525254,7.593857522
1000181,2.66963599,2.680498349,7.155954862
1000322,2.687015629,2.627679325,7.060615415
1000986,2.615387346,2.678181389,7.004481717
1000570,2.576643243,2.767162444,7.129990415
1000911,2.633936753,2.771390861,7.299668246
1000479,2.711313,2.718715565,7.371288854
1000783,2.765022983,2.692624965,7.445169913
1000359,2.595198691,2.556129673,6.633664383
1000635,2.740124081,2.577080431,7.061520147
1000332,2.641487388,2.613094343,6.90245575
1000318,2.684994967,2.62784919,7.055761848
1000481,2.786010727,2.689637412,7.493358683
1000510,2.624199904,2.763931946,7.253109948
1000523,2.565812346,2.628917209,6.745308232
1000006,2.530482682,2.777651828,7.02879985
1000089,2.561234397,2.627577289,6.729841332
1000817,2.639449347,2.602069906,6.868031715
1000147,2.788780879,2.655806325,7.406461899
1000117,2.696615366,2.599848867,7.010792404
1000947,2.558133109,2.733061254,6.991534481
1000208,2.656339377,2.573012043,6.834793208
1000720,2.713831164,2.512746397,6.819169482
1000872,2.539653762,2.776139226,7.050432431
1000056,2.682400527,2.621966955,7.033165541
1000042,2.684741793,2.681670806,7.19959369
1000404,2.672658919,2.698130568,7.211182727
1000462,2.732615679,2.53006029,6.913682418
1000136,2.729215076,2.73920523,7.475880211
1000123,2.584519021,2.568861887,6.639272408
1000379,2.602957641,2.586089213,6.731480679
1000816,2.695403263,2.57338722,6.93631631
1000656,2.754553243,2.784205953,7.669243537
1000164,2.689339707,2.527652044,6.797715007
1000673,2.703906143,2.667375483,7.212332955
1000008,2.625055335,2.692298461,7.06743244
1000756,2.521220319,2.66212995,6.711816124
1000169,2.606599979,2.63874323,6.878148049
1000164,2.64721096,2.541689234,6.728387599
1000674,2.500671943,2.520927773,6.304013351
1000479,2.773773195,2.743667878,7.610312414
1000896,2.743074659,2.67527481,7.338478536
1000616,2.61966662,2.681309604,7.024137267
1000425,2.514337469,2.794887919,7.027291414
1000416,2.675076961,2.553127793,6.829813337
1000767,2.706722254,2.513725193,6.80395592
1000791,2.647094586,2.710294178,7.174405045
1000305,2.698031277,2.787183898,7.519909332
1000170,2.539792347,2.666342091,6.771955236
1000987,2.587968628,2.526825007,6.539343845
1000018,2.523051983,2.738060791,6.90826971
1000223,2.733113798,2.659265067,7.268074045
1000588,2.740449408,2.524637817,6.918642209
1000448,2.696217015,2.775844916,7.484280291
1000919,2.734123233,2.547982585,6.966498384
1000437,2.536782994,2.68945823,6.8225719
1000983,2.678168386,2.721756324,7.289321743
1000738,2.77922079,2.652491713,7.371860112
1000949,2.657004627,2.599605336,6.907163406
1000036,2.527046662,2.646830474,6.688664115
1000563,2.797275982,2.720977381,7.611324676
1000025,2.611387915,2.542522184,6.639511703
1000531,2.638999583,2.67775,7.066581133
1000459,2.735290317,2.716950139,7.431647407
1000910,2.680225936,2.773116923,7.432579902
1000870,2.595009514,2.703215188,7.01486913
1000314,2.608630398,2.547630581,6.645826577
1000139,2.764052462,2.573807426,7.11413875
1000347,2.551224328,2.737595385,6.984219945
1000811,2.717565792,2.634223307,7.158675147
1000059,2.598970542,2.744303728,7.132364548
1000946,2.63740008,2.610337028,6.884503085
1000713,2.761596686,2.781635592,7.68175563
1000234,2.601974285,2.776312335,7.223893301
1000868,2.568895471,2.605368882,6.692920319
1000187,2.705300254,2.784084065,7.531783328
1000622,2.765409335,2.535752719,7.012394242
1000011,2.706466985,2.671269066,7.229701534
1000314,2.646965912,2.520073674,6.670549112
1000971,2.60486987,2.775766762,7.230511204
1000103,2.637129904,2.606400923,6.873417815
1000837,2.614620305,2.62957148,6.875330986
1000772,2.73947867,2.686986112,7.360941141
1000165,2.764276534,2.580540017,7.133326215
1000209,2.786096811,2.794275307,7.785121522
1000222,2.587073901,2.69020688,6.959764007
1000268,2.555804632,2.562958414,6.550420985
